Source,Target,Weight,Book
siddharth,dharmapal,1,2
siddharth,asok,1,2
arthasadhak,dharmapal,1,2
arthasadhak,asok,1,2
arthasadhak,sumantra,1,2
dharmapal,asok,1,2
dharmapal,sumantra,1,2
asok,sumantra,1,2
sumantra,vasishtha,4,2
kasyap,vibhandak,2,2
rishyasring,lomapad,1,2
rishyasring,santa,5,2
dasaratha,sanatkumar,2,2
kasyap,rishyasring,1,2
ikshvaku,dasaratha,1,2
santa,lomapad,8,2
santa,dasaratha,5,2
lomapad,dasaratha,3,2
rishyasring,dasaratha,3,2
sumantra,dasaratha,1,2
brahma,vasishtha,1,2
vasishtha,suyajna,4,2
vasishtha,javali,6,2
vasishtha,kasyap,6,2
vasishtha,dasaratha,4,2
suyajna,vamadeva,1,2
suyajna,javali,1,2
suyajna,kasyap,1,2
suyajna,dasaratha,1,2
vamadeva,javali,2,2
vamadeva,kasyap,2,2
vamadeva,dasaratha,1,2
javali,kasyap,2,2
javali,dasaratha,1,2
kasyap,dasaratha,1,2
janak,mithila,1,2
mithila,dasaratha,1,2
dasaratha,kasi,2,2
kekaya,lomapad,1,2
surashtra,suvira,1,2
surashtra,sindhu,1,2
suvira,sindhu,1,2
sarju,rishyasring,1,2
dasaratha,rishyasring,2,2
chatushtom,ukthya,1,2
chatushtom,atiratra,1,2
ukthya,atiratra,1,2
ukthya,aptoryam,1,2
atiratra,aptoryam,1,2
aptoryam,abhijit,1,2
aptoryam,visvajit,1,2
abhijit,visvajit,1,2
abhijit,jyotishtom,1,2
visvajit,jyotishtom,1,2
vasishtha,rishyasring,1,2
brahma,sthanu,3,2
brahma,narayan,3,2
brahma,indra,4,2
brahma,maruts,3,2
sthanu,narayan,1,2
sthanu,indra,1,2
sthanu,maruts,1,2
narayan,indra,2,2
narayan,maruts,2,2
indra,maruts,3,2
madhu,vishnu,2,2
kausalya,sumitra,3,2
sumitra,kaikeyi,5,2
bali,mahendra,3,2
bali,indra,8,2
mahendra,indra,1,2
mahendra,sugriva,1,2
mahendra,tara,2,2
indra,sugriva,2,2
