Source,Target,Book_no,Weight
agastya,ganga,1,0.44347802
agastya,gautam,1,0.29777804
agastya,glory,1,0.45164558
agastya,guha,1,0.15708907
agastya,hanuman,1,0.33842832
agastya,himalaya,1,0.1437435
agastya,honour,1,0.44499087
agastya,ikshvaku,1,0.11581453
agastya,indra,1,0.43560734
agastya,jahnu,1,0.24169536
agastya,jahnavi,1,0.16369252
agastya,jamadagni,1,0.11997235
agastya,janak,1,0.44058037
agastya,javali,1,0.15730776
agastya,jaya,1,0.09999368
agastya,justice,1,0.2806123
agastya,kabandha,1,0.13811295
agastya,kaikeyi,1,0.3651426
agastya,kambojas,1,0.08243294
agastya,kandarpa,1,0.1250374
agastya,kasyap,1,0.3150605
agastya,kausalya,1,0.3341992
agastya,kesini,1,0.21022944
agastya,krisasva,1,0.28179583
agastya,kusa,1,0.08716897
agastya,kusadhwaj,1,0.050475072
agastya,kusanabha,1,0.3646215
agastya,kusik,1,0.26492482
agastya,lakshman,1,0.3932433
agastya,lanka,1,0.21224636
agastya,lomapad,1,0.28531158
agastya,madhu,1,0.33694088
agastya,madhushyand,1,0.17360184
agastya,mahodaya,1,0.110782616
agastya,manu,1,0.231587
agastya,maricha,1,0.39588654
agastya,maru,1,0.11172767
agastya,maruts,1,0.24472305
agastya,mithila,1,0.41764808
agastya,moon,1,0.4554214
agastya,nabhag,1,0.19290464
agastya,nagas,1,0.25591803
agastya,nahush,1,0.23140849
agastya,nala,1,0.039384376
agastya,nandigrama,1,0.16263923
agastya,narad,1,0.10795931
agastya,narayan,1,0.07802305
agastya,nimi,1,0.3380485
agastya,ocean,1,0.44127682
agastya,pahlavas,1,-0.028113168
agastya,phalguni,1,0.08381235
agastya,raghu,1,0.35859787
agastya,rain,1,0.42374128
agastya,rama,1,0.44652212
agastya,rambha,1,0.07266281
agastya,ravan,1,0.40171775
agastya,richika,1,0.29922977
agastya,right,1,0.45050716
agastya,rishyasring,1,0.41706535
agastya,rudra,1,0.23732398
agastya,sagar,1,0.3987326
agastya,sakas,1,0.019216552
agastya,sanatkumar,1,0.20473178
agastya,santa,1,0.40220922
agastya,satananda,1,0.38207752
agastya,satrughna,1,0.26796296
agastya,sita,1,0.3963737
agastya,siva,1,0.31395572
agastya,sthanu,1,0.2528995
agastya,sudaman,1,-0.02333472
agastya,sudarsan,1,0.06501403
agastya,sudhanva,1,0.12064194
agastya,sudras,1,0.044518705
agastya,sugriva,1,0.42765978
agastya,suketu,1,0.2308997
agastya,sumantra,1,0.3760296
agastya,sumati,1,0.36532235
agastya,sumitra,1,0.33392134
agastya,sun,1,0.43829343
agastya,sunahsepha,1,0.30306244
agastya,sunda,1,0.30045268
agastya,suvahu,1,0.15890288
agastya,tadaka,1,0.35502982
agastya,tara,1,0.1110075
agastya,thousand-eyed,1,0.4142876
agastya,titan,1,0.2794287
agastya,trident,1,0.35146004
agastya,tripura,1,0.0734417
agastya,trisanku,1,0.32182205
agastya,uma,1,0.07565782
agastya,urmila,1,0.19225016
agastya,valmiki,1,0.26166382
agastya,vamadeva,1,0.15872379
agastya,varun,1,0.21608284
agastya,vasishtha,1,0.43150097
agastya,vasudeva,1,0.096583255
agastya,vedas,1,0.15725417
agastya,vibhandak,1,0.1998931
agastya,vibhishan,1,0.12111348
agastya,viradha,1,0.17336176
agastya,virtue,1,0.41100237
agastya,visala,1,0.07324938
agastya,vishnu,1,0.40534008
agastya,visvamitra,1,0.4276192
agastya,wind,1,0.39202106
agastya,wind-god,1,0.21543288
agastya,yudhajit,1,-0.042774588
agni,ahalya,1,0.059478354
agni,air,1,0.15284431
agni,ambarisha,1,0.14991024
agni,ansuman,1,0.20169657
agni,asamanj,1,0.15976459
agni,asit,1,0.07565278
agni,asoka,1,-0.013821122
agni,asurs,1,-0.13520417
agni,asvins,1,0.10538026
agni,ayodhya,1,0.17659643
agni,bali,1,0.21875873
agni,barbars,1,0.12361132
agni,beauty,1,0.17029881
agni,bhagirath,1,0.17273536
agni,bharadvaja,1,0.19379288
agni,bharat,1,0.07789099
agni,bhrigu,1,0.068901084
agni,brahma,1,0.12631123
agni,brahmadatta,1,-0.04211875
agni,chandala,1,0.017897421
agni,dasaratha,1,0.17229505
agni,devarat,1,0.11669684
agni,dilipa,1,0.11076015
agni,diti,1,0.039960407
agni,fame,1,0.14530556
agni,fate,1,0.17055455
agni,fire,1,0.14788647
agni,fortune,1,0.15455757
agni,gadhi,1,0.11820932
agni,ganga,1,0.16705671
agni,gautam,1,0.06738006
agni,glory,1,0.15498652
agni,guha,1,-0.16291916
agni,hanuman,1,0.1817228
agni,himalaya,1,0.11897847
agni,honour,1,0.17126155
agni,ikshvaku,1,0.055119943
agni,indra,1,0.16346614
agni,jahnu,1,0.0059324186
agni,jahnavi,1,-0.004677782
agni,jamadagni,1,0.047265586
agni,janak,1,0.17726511
agni,javali,1,-0.08009402
agni,jaya,1,0.19343233
agni,justice,1,0.144507
agni,kabandha,1,0.19764253
agni,kaikeyi,1,0.20194213
agni,kambojas,1,0.09010054
agni,kandarpa,1,0.05248728
agni,kasyap,1,0.12956177
agni,kausalya,1,0.17340896
agni,kesini,1,0.17978625
agni,krisasva,1,0.12053701
agni,kusa,1,0.285277
agni,kusadhwaj,1,0.15056121
agni,kusanabha,1,0.12779576
agni,kusik,1,0.13066237
agni,lakshman,1,0.14929208
agni,lanka,1,-0.014899035
agni,lomapad,1,0.19897048
agni,madhu,1,0.26148164
agni,madhushyand,1,0.09986335
agni,mahodaya,1,0.15605378
agni,manu,1,0.095304474
agni,maricha,1,0.07266098
agni,maru,1,0.043607164
agni,maruts,1,-0.018943269
agni,mithila,1,0.1224805
agni,moon,1,0.10888087
agni,nabhag,1,-0.022274615
agni,nagas,1,0.07921645
agni,nahush,1,0.20949829
agni,nala,1,0.10782705
agni,nandigrama,1,-0.036616616
agni,narad,1,-0.10578487
agni,narayan,1,0.117105424
agni,nimi,1,0.056809742
agni,ocean,1,0.11817704
agni,pahlavas,1,0.15474923
agni,phalguni,1,0.07549935
agni,raghu,1,0.108887024
agni,rain,1,0.1280421
agni,rama,1,0.1519215
agni,rambha,1,0.00475935
agni,ravan,1,0.100382045
agni,richika,1,0.16238996
agni,right,1,0.17494474
agni,rishyasring,1,0.16034053
agni,rudra,1,0.046978377
agni,sagar,1,0.16768046
agni,sakas,1,0.07184478
agni,sanatkumar,1,0.07744906
agni,santa,1,0.09013327
agni,satananda,1,0.11698778
agni,satrughna,1,-0.016132804
agni,sita,1,0.16579044
agni,siva,1,0.10238674
agni,sthanu,1,0.17285366
agni,sudaman,1,-0.029545406
agni,sudarsan,1,0.136227
agni,sudhanva,1,-0.061940894
agni,sudras,1,-0.04761434
agni,sugriva,1,0.21358626
agni,suketu,1,-0.0058407234
agni,sumantra,1,0.07464638
agni,sumati,1,0.19458616
agni,sumitra,1,0.07231532
agni,sun,1,0.10044044
agni,sunahsepha,1,0.18939325
agni,sunda,1,0.15281251
agni,suvahu,1,0.17413141
agni,tadaka,1,0.23600608
agni,tara,1,0.028180202
agni,thousand-eyed,1,0.110638596
agni,titan,1,0.069860466
agni,trident,1,0.09949227
agni,tripura,1,-0.048810747
agni,trisanku,1,0.09536803
agni,uma,1,0.04853236
agni,urmila,1,0.07780371
agni,valmiki,1,0.11909617
agni,vamadeva,1,0.10721112
agni,varun,1,0.022000518
agni,vasishtha,1,0.14689969
agni,vasudeva,1,0.06021259
agni,vedas,1,0.046609957
agni,vibhandak,1,0.19667289
agni,vibhishan,1,0.10986308
agni,viradha,1,0.011171919
agni,virtue,1,0.19490382
agni,visala,1,0.027245816
agni,vishnu,1,0.17757814
agni,visvamitra,1,0.15957147
agni,wind,1,0.104643784
agni,wind-god,1,0.075406276
agni,yudhajit,1,0.18722187
ahalya,air,1,0.6377718
ahalya,ambarisha,1,0.31673476
ahalya,ansuman,1,0.5593195
ahalya,asamanj,1,0.42312157
ahalya,asit,1,0.15893994
ahalya,asoka,1,0.19036324
ahalya,asurs,1,0.20702647
ahalya,asvins,1,0.25215137
ahalya,ayodhya,1,0.5948271
ahalya,bali,1,0.6510403
ahalya,barbars,1,0.16373911
ahalya,beauty,1,0.5704383
ahalya,bhagirath,1,0.55721277
ahalya,bharadvaja,1,0.37169096
ahalya,bharat,1,0.6116223
ahalya,bhrigu,1,0.38548607
ahalya,brahma,1,0.6874018
