Canto,Person,Occurences,Normalised,Values,freq_norm,Value_norm,Person_num,CantoTotal,occ_freq
0,valmiki,1,0.25,0.25,0.1111111111111111,0.027777777777777776,435,4,0.25
0,rama,3,0.002717391304347826,0.008152173913043478,0.002150537634408602,5.843852267414679e-06,312,4,0.75
1,rama,26,0.002717391304347826,0.07065217391304347,0.01863799283154122,5.0646719650927225e-05,312,78,0.3333333333333333
1,vishnu,1,0.025,0.025,0.016666666666666666,0.0004166666666666667,466,78,0.01282051282051282
1,kaikeyi,1,0.014492753623188406,0.014492753623188406,0.00847457627118644,0.00012281994595922377,161,78,0.01282051282051282
1,lakshman,2,0.005263157894736842,0.010526315789473684,0.0053475935828877,2.8145229383619476e-05,212,78,0.02564102564102564
1,janak,1,0.016666666666666666,0.016666666666666666,0.011764705882352941,0.000196078431372549,150,78,0.01282051282051282
1,rohini,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.027777777777777776,321,78,0.01282051282051282
1,sringavera,1,0.2,0.2,0.2,0.04000000000000001,368,78,0.01282051282051282
1,ganga,1,0.029411764705882353,0.029411764705882353,0.01818181818181818,0.0005347593582887701,115,78,0.01282051282051282
1,bharadvaja,1,0.07142857142857142,0.07142857142857142,0.037037037037037035,0.0026455026455026454,56,78,0.01282051282051282
1,chitrakuta,3,0.05555555555555555,0.16666666666666666,0.11538461538461539,0.00641025641025641,70,78,0.038461538461538464
1,ayodhya,2,0.013513513513513514,0.02702702702702703,0.017699115044247787,0.00023917723032767282,51,78,0.02564102564102564
1,dandaka,1,1.0,1.0,1.0,1.0,77,78,0.01282051282051282
1,agastya,1,0.07142857142857142,0.07142857142857142,0.037037037037037035,0.0026455026455026454,4,78,0.01282051282051282
1,indra,1,0.006369426751592357,0.006369426751592357,0.004329004329004329,2.7573275980919295e-05,141,78,0.01282051282051282
1,surpanakha,1,0.1,0.1,0.07142857142857142,0.007142857142857143,391,78,0.01282051282051282
1,dushan,1,0.07142857142857142,0.07142857142857142,0.043478260869565216,0.003105590062111801,103,78,0.01282051282051282
1,maricha,3,0.05555555555555555,0.16666666666666666,0.07692307692307693,0.004273504273504274,245,78,0.038461538461538464
1,ravan,3,0.007874015748031496,0.023622047244094488,0.012345679012345678,9.72100709633518e-05,313,78,0.038461538461538464
